driver_number,chain,num_days_worked,weekly_duty_hrs,avg_duty_per_day,is_overnight
1,Mon[R1] → Tue[R5] → Wed[R2] → Thu[R6] → Fri[R1],5,46.36,9.27,False
2,Mon[R2] → Tue[R2] → Wed[R3] → Thu[R5] → Fri[R2],5,56.9,11.38,False
3,Mon[R3] → Tue[R4] → Wed[R4] → Thu[R4] → Fri[R3],5,49.26,9.85,False
4,Mon[R4] → Tue[R3] → Wed[R5] → Thu[R3] → Fri[R4],5,51.81,10.36,False
5,Mon[R5] → Tue[R1] → Wed[R7] → Thu[R1] → Fri[R6],5,46.79,9.36,False
6,Tue[R6] → Wed[R1] → Thu[R7],3,38.15,12.72,False
7,Wed[R6] → Thu[R2] → Fri[R5],3,35.6,11.87,False
